fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
39035,1249418,733835,362015,13286,62823.0,1005.0,38.4,2018,18236
39037,51655,49378,283,336,64654.0,747.0,27.0,2018,176
39039,38258,33909,646,400,73615.0,826.0,30.4,2018,151
39041,221160,179940,9233,1530,130088.0,1433.0,29.8,2018,522
39043,74938,61587,6334,603,68431.0,882.0,36.0,2018,720
39045,161289,133267,14324,1830,87069.0,1114.0,37.5,2018,912
39047,28880,26377,841,193,60047.0,807.0,30.0,2018,145
39049,1321635,799189,304406,18398,73795.0,1233.0,36.4,2018,17837
39051,42434,38328,168,464,72866.0,832.0,27.4,2018,145
39053,29162,26953,582,271,56455.0,798.0,35.0,2018,123
39055,95479,89461,898,691,100783.0,1018.0,35.1,2018,134
39057,168531,139641,9916,2162,85218.0,1089.0,32.2,2018,768
39059,38283,36041,633,349,55756.0,803.0,43.6,2018,121
39061,827878,532630,207806,8531,70816.0,1005.0,39.5,2018,12165
39063,74885,67314,1371,534,69699.0,926.0,31.0,2018,328
39065,30527,28513,344,479,58001.0,733.0,29.6,2018,113
39067,14408,13647,411,110,53851.0,753.0,34.8,2018,33
39069,27581,24729,169,316,79267.0,866.0,25.8,2018,88
39071,43403,41220,509,417,62008.0,757.0,33.9,2018,200
39073,27938,26370,110,315,61366.0,806.0,33.3,2018,91
39075,44312,43462,70,167,74774.0,773.0,30.9,2018,45
39077,58412,53682,436,659,65972.0,824.0,31.6,2018,384
39079,32588,31347,324,366,58409.0,773.0,38.9,2018,128
39081,64855,58133,3485,431,56983.0,792.0,39.7,2018,312
39083,62888,59089,590,513,73988.0,925.0,38.0,2018,265
39085,232101,201733,11339,1627,77952.0,1073.0,38.1,2018,1312
39087,57385,53954,961,425,54842.0,830.0,36.6,2018,258
39089,180311,156892,7231,1901,81033.0,999.0,33.4,2018,1077
39091,46140,42751,796,642,69183.0,832.0,33.0,2018,231
